Sl.No,Process Name,Thread No,Item,Time (in Microseconds)
1,Chef,1,Maach,2824
2,Chef,1,Dal,3154
3,Chef,2,Dal,2844
4,Chef,2,Bhaat,3151
5,Chef,3,Bhaat,3102
6,Chef,3,Maach,3371
7,Chef,1,Maach,3360
8,Chef,1,Dal,3800
9,Chef,2,Dal,3405
10,Chef,2,Bhaat,3747
11,Chef,3,Bhaat,3668
12,Chef,3,Maach,3914
13,Chef,1,Maach,4207
14,Chef,1,Dal,4430
15,Chef,2,Dal,3932
16,Chef,2,Bhaat,4196
17,Chef,1,Maach,4916
18,Chef,1,Dal,5133
19,Chef,3,Bhaat,4164
20,Chef,3,Maach,4472
21,Chef,2,Dal,4337
22,Chef,2,Bhaat,4540
